,away,home,date
3,Toronto Blue Jays,Houston Astros,2018-06-25
4,Los Angeles Angels,Kansas City Royals,2018-06-25
5,Chicago Cubs,Los Angeles Dodgers,2018-06-25
6,Arizona D'Backs,Miami Marlins,2018-06-25
7,Pittsburgh Pirates,New York Mets,2018-06-25
8,New York Yankees,Philadelphia Phillies,2018-06-25
9,Cleveland Indians,St. Louis Cardinals,2018-06-25
10,Washington Nationals,Tampa Bay Rays,2018-06-25
11,San Diego Padres,Texas Rangers,2018-06-25
0,Cincinnati Reds,Atlanta Braves,2018-06-26
1,Seattle Mariners,Baltimore Orioles,2018-06-26
2,Los Angeles Angels,Boston Red Sox,2018-06-26
3,Minnesota Twins,Chicago White Sox,2018-06-26
4,Oakland Athletics,Detroit Tigers,2018-06-26
5,Toronto Blue Jays,Houston Astros,2018-06-26
6,Chicago Cubs,Los Angeles Dodgers,2018-06-26
7,Arizona D'Backs,Miami Marlins,2018-06-26
8,Kansas City Royals,Milwaukee Brewers,2018-06-26
9,Pittsburgh Pirates,New York Mets,2018-06-26
10,New York Yankees,Philadelphia Phillies,2018-06-26
11,Colorado Rockies,San Francisco Giants,2018-06-26
12,Cleveland Indians,St. Louis Cardinals,2018-06-26
13,Washington Nationals,Tampa Bay Rays,2018-06-26
14,San Diego Padres,Texas Rangers,2018-06-26
0,Cincinnati Reds,Atlanta Braves,2018-06-27
1,Seattle Mariners,Baltimore Orioles,2018-06-27
2,Los Angeles Angels,Boston Red Sox,2018-06-27
3,Minnesota Twins,Chicago White Sox,2018-06-27
4,Oakland Athletics,Detroit Tigers,2018-06-27
5,Toronto Blue Jays,Houston Astros,2018-06-27
6,Chicago Cubs,Los Angeles Dodgers,2018-06-27
7,Arizona D'Backs,Miami Marlins,2018-06-27
8,Kansas City Royals,Milwaukee Brewers,2018-06-27
9,Pittsburgh Pirates,New York Mets,2018-06-27
10,New York Yankees,Philadelphia Phillies,2018-06-27
11,Colorado Rockies,San Francisco Giants,2018-06-27
12,Cleveland Indians,St. Louis Cardinals,2018-06-27
13,San Diego Padres,Texas Rangers,2018-06-27
0,Seattle Mariners,Baltimore Orioles,2018-06-28
1,Los Angeles Angels,Boston Red Sox,2018-06-28
2,Minnesota Twins,Chicago White Sox,2018-06-28
3,Milwaukee Brewers,Cincinnati Reds,2018-06-28
4,Oakland Athletics,Detroit Tigers,2018-06-28
5,Chicago Cubs,Los Angeles Dodgers,2018-06-28
6,Arizona D'Backs,Miami Marlins,2018-06-28
7,Washington Nationals,Philadelphia Phillies,2018-06-28
8,Colorado Rockies,San Francisco Giants,2018-06-28
9,Houston Astros,Tampa Bay Rays,2018-06-28
0,San Francisco Giants,Arizona D'Backs,2018-06-29
1,Los Angeles Angels,Baltimore Orioles,2018-06-29
2,Minnesota Twins,Chicago Cubs,2018-06-29
3,Milwaukee Brewers,Cincinnati Reds,2018-06-29
4,Colorado Rockies,Los Angeles Dodgers,2018-06-29
5,New York Mets,Miami Marlins,2018-06-29
6,Boston Red Sox,New York Yankees,2018-06-29
7,Cleveland Indians,Oakland Athletics,2018-06-29
8,Washington Nationals,Philadelphia Phillies,2018-06-29
9,Pittsburgh Pirates,San Diego Padres,2018-06-29
10,Kansas City Royals,Seattle Mariners,2018-06-29
11,Atlanta Braves,St. Louis Cardinals,2018-06-29
12,Houston Astros,Tampa Bay Rays,2018-06-29
13,Chicago White Sox,Texas Rangers,2018-06-29
14,Detroit Tigers,Toronto Blue Jays,2018-06-29
0,San Francisco Giants,Arizona D'Backs,2018-06-30
1,Los Angeles Angels,Baltimore Orioles,2018-06-30
2,Minnesota Twins,Chicago Cubs,2018-06-30
3,Milwaukee Brewers,Cincinnati Reds,2018-06-30
4,Colorado Rockies,Los Angeles Dodgers,2018-06-30
5,New York Mets,Miami Marlins,2018-06-30
6,Boston Red Sox,New York Yankees,2018-06-30
7,Cleveland Indians,Oakland Athletics,2018-06-30
8,Washington Nationals,Philadelphia Phillies,2018-06-30
9,Pittsburgh Pirates,San Diego Padres,2018-06-30
10,Kansas City Royals,Seattle Mariners,2018-06-30
11,Atlanta Braves,St. Louis Cardinals,2018-06-30
12,Houston Astros,Tampa Bay Rays,2018-06-30
13,Chicago White Sox,Texas Rangers,2018-06-30
14,Detroit Tigers,Toronto Blue Jays,2018-06-30
0,San Francisco Giants,Arizona D'Backs,2018-07-01
1,Los Angeles Angels,Baltimore Orioles,2018-07-01
2,Minnesota Twins,Chicago Cubs,2018-07-01
3,Milwaukee Brewers,Cincinnati Reds,2018-07-01
4,Colorado Rockies,Los Angeles Dodgers,2018-07-01
5,New York Mets,Miami Marlins,2018-07-01
6,Boston Red Sox,New York Yankees,2018-07-01
7,Cleveland Indians,Oakland Athletics,2018-07-01
8,Washington Nationals,Philadelphia Phillies,2018-07-01
9,Pittsburgh Pirates,San Diego Padres,2018-07-01
10,Kansas City Royals,Seattle Mariners,2018-07-01
11,Atlanta Braves,St. Louis Cardinals,2018-07-01
12,Houston Astros,Tampa Bay Rays,2018-07-01
13,Chicago White Sox,Texas Rangers,2018-07-01
14,Detroit Tigers,Toronto Blue Jays,2018-07-01
0,St. Louis Cardinals,Arizona D'Backs,2018-07-02
1,Chicago White Sox,Cincinnati Reds,2018-07-02
2,San Francisco Giants,Colorado Rockies,2018-07-02
3,Cleveland Indians,Kansas City Royals,2018-07-02
4,Pittsburgh Pirates,Los Angeles Dodgers,2018-07-02
5,Tampa Bay Rays,Miami Marlins,2018-07-02
6,Minnesota Twins,Milwaukee Brewers,2018-07-02
7,Atlanta Braves,New York Yankees,2018-07-02
8,Detroit Tigers,Toronto Blue Jays,2018-07-02
9,Boston Red Sox,Washington Nationals,2018-07-02
0,St. Louis Cardinals,Arizona D'Backs,2018-07-03
1,Detroit Tigers,Chicago Cubs,2018-07-03
2,Chicago White Sox,Cincinnati Reds,2018-07-03
3,San Francisco Giants,Colorado Rockies,2018-07-03
4,Cleveland Indians,Kansas City Royals,2018-07-03
5,Pittsburgh Pirates,Los Angeles Dodgers,2018-07-03
6,Tampa Bay Rays,Miami Marlins,2018-07-03
7,Minnesota Twins,Milwaukee Brewers,2018-07-03
8,Atlanta Braves,New York Yankees,2018-07-03
9,San Diego Padres,Oakland Athletics,2018-07-03
10,Baltimore Orioles,Philadelphia Phillies,2018-07-03
11,Los Angeles Angels,Seattle Mariners,2018-07-03
12,Houston Astros,Texas Rangers,2018-07-03
13,New York Mets,Toronto Blue Jays,2018-07-03
14,Boston Red Sox,Washington Nationals,2018-07-03
0,St. Louis Cardinals,Arizona D'Backs,2018-07-04
1,Detroit Tigers,Chicago Cubs,2018-07-04
2,Chicago White Sox,Cincinnati Reds,2018-07-04
3,San Francisco Giants,Colorado Rockies,2018-07-04
4,Cleveland Indians,Kansas City Royals,2018-07-04
5,Pittsburgh Pirates,Los Angeles Dodgers,2018-07-04
6,Tampa Bay Rays,Miami Marlins,2018-07-04
7,Minnesota Twins,Milwaukee Brewers,2018-07-04
8,Atlanta Braves,New York Yankees,2018-07-04
9,San Diego Padres,Oakland Athletics,2018-07-04
10,Baltimore Orioles,Philadelphia Phillies,2018-07-04
11,Los Angeles Angels,Seattle Mariners,2018-07-04
12,Houston Astros,Texas Rangers,2018-07-04
13,New York Mets,Toronto Blue Jays,2018-07-04
14,Boston Red Sox,Washington Nationals,2018-07-04
0,San Diego Padres,Arizona D'Backs,2018-07-05
1,Texas Rangers,Detroit Tigers,2018-07-05
2,Chicago White Sox,Houston Astros,2018-07-05
3,Atlanta Braves,Milwaukee Brewers,2018-07-05
4,Baltimore Orioles,Minnesota Twins,2018-07-05
5,Los Angeles Angels,Seattle Mariners,2018-07-05
6,St. Louis Cardinals,San Francisco Giants,2018-07-05
7,Miami Marlins,Washington Nationals,2018-07-05
0,Los Angeles Dodgers,Los Angeles Angels,2018-07-06
1,San Diego Padres,Arizona D'Backs,2018-07-06
2,Cincinnati Reds,Chicago Cubs,2018-07-06
3,Oakland Athletics,Cleveland Indians,2018-07-06
4,Texas Rangers,Detroit Tigers,2018-07-06
5,Chicago White Sox,Houston Astros,2018-07-06
6,Boston Red Sox,Kansas City Royals,2018-07-06
7,Atlanta Braves,Milwaukee Brewers,2018-07-06
8,Baltimore Orioles,Minnesota Twins,2018-07-06
9,Tampa Bay Rays,New York Mets,2018-07-06
10,Philadelphia Phillies,Pittsburgh Pirates,2018-07-06
11,Colorado Rockies,Seattle Mariners,2018-07-06
12,St. Louis Cardinals,San Francisco Giants,2018-07-06
13,New York Yankees,Toronto Blue Jays,2018-07-06
14,Miami Marlins,Washington Nationals,2018-07-06
0,Los Angeles Dodgers,Los Angeles Angels,2018-07-07
1,San Diego Padres,Arizona D'Backs,2018-07-07
2,Cincinnati Reds,Chicago Cubs,2018-07-07
3,Oakland Athletics,Cleveland Indians,2018-07-07
4,Texas Rangers,Detroit Tigers,2018-07-07
5,Chicago White Sox,Houston Astros,2018-07-07
6,Boston Red Sox,Kansas City Royals,2018-07-07
7,Atlanta Braves,Milwaukee Brewers,2018-07-07
8,Baltimore Orioles,Minnesota Twins,2018-07-07
9,Tampa Bay Rays,New York Mets,2018-07-07
10,Philadelphia Phillies,Pittsburgh Pirates,2018-07-07
11,Colorado Rockies,Seattle Mariners,2018-07-07
12,St. Louis Cardinals,San Francisco Giants,2018-07-07
13,New York Yankees,Toronto Blue Jays,2018-07-07
14,Miami Marlins,Washington Nationals,2018-07-07
0,Los Angeles Dodgers,Los Angeles Angels,2018-07-08
1,San Diego Padres,Arizona D'Backs,2018-07-08
2,Cincinnati Reds,Chicago Cubs,2018-07-08
3,Oakland Athletics,Cleveland Indians,2018-07-08
4,Texas Rangers,Detroit Tigers,2018-07-08
5,Chicago White Sox,Houston Astros,2018-07-08
6,Boston Red Sox,Kansas City Royals,2018-07-08
7,Atlanta Braves,Milwaukee Brewers,2018-07-08
8,Baltimore Orioles,Minnesota Twins,2018-07-08
9,Tampa Bay Rays,New York Mets,2018-07-08
10,Philadelphia Phillies,Pittsburgh Pirates,2018-07-08
11,Colorado Rockies,Seattle Mariners,2018-07-08
12,St. Louis Cardinals,San Francisco Giants,2018-07-08
13,New York Yankees,Toronto Blue Jays,2018-07-08
14,Miami Marlins,Washington Nationals,2018-07-08
0,New York Yankees,Baltimore Orioles,2018-07-09
1,New York Yankees,Baltimore Orioles,2018-07-09
2,Texas Rangers,Boston Red Sox,2018-07-09
3,Cincinnati Reds,Cleveland Indians,2018-07-09
4,Oakland Athletics,Houston Astros,2018-07-09
5,Milwaukee Brewers,Miami Marlins,2018-07-09
6,Kansas City Royals,Minnesota Twins,2018-07-09
7,Philadelphia Phillies,New York Mets,2018-07-09
8,Philadelphia Phillies,New York Mets,2018-07-09
9,Washington Nationals,Pittsburgh Pirates,2018-07-09
10,Los Angeles Dodgers,San Diego Padres,2018-07-09
11,Chicago Cubs,San Francisco Giants,2018-07-09
12,Detroit Tigers,Tampa Bay Rays,2018-07-09
0,Seattle Mariners,Los Angeles Angels,2018-07-10
1,Toronto Blue Jays,Atlanta Braves,2018-07-10
2,New York Yankees,Baltimore Orioles,2018-07-10
3,Texas Rangers,Boston Red Sox,2018-07-10
4,St. Louis Cardinals,Chicago White Sox,2018-07-10
5,Cincinnati Reds,Cleveland Indians,2018-07-10
6,Arizona D'Backs,Colorado Rockies,2018-07-10
7,Oakland Athletics,Houston Astros,2018-07-10
8,Milwaukee Brewers,Miami Marlins,2018-07-10
9,Kansas City Royals,Minnesota Twins,2018-07-10
10,Philadelphia Phillies,New York Mets,2018-07-10
11,Washington Nationals,Pittsburgh Pirates,2018-07-10
12,Los Angeles Dodgers,San Diego Padres,2018-07-10
13,Chicago Cubs,San Francisco Giants,2018-07-10
14,Detroit Tigers,Tampa Bay Rays,2018-07-10
0,Seattle Mariners,Los Angeles Angels,2018-07-11
1,Toronto Blue Jays,Atlanta Braves,2018-07-11
2,New York Yankees,Baltimore Orioles,2018-07-11
3,Texas Rangers,Boston Red Sox,2018-07-11
4,St. Louis Cardinals,Chicago White Sox,2018-07-11
5,Cincinnati Reds,Cleveland Indians,2018-07-11
6,Arizona D'Backs,Colorado Rockies,2018-07-11
7,Oakland Athletics,Houston Astros,2018-07-11
8,Milwaukee Brewers,Miami Marlins,2018-07-11
9,Kansas City Royals,Minnesota Twins,2018-07-11
10,Philadelphia Phillies,New York Mets,2018-07-11
11,Washington Nationals,Pittsburgh Pirates,2018-07-11
12,Los Angeles Dodgers,San Diego Padres,2018-07-11
13,Chicago Cubs,San Francisco Giants,2018-07-11
14,Detroit Tigers,Tampa Bay Rays,2018-07-11
0,Seattle Mariners,Los Angeles Angels,2018-07-12
1,Philadelphia Phillies,Baltimore Orioles,2018-07-12
2,Toronto Blue Jays,Boston Red Sox,2018-07-12
3,New York Yankees,Cleveland Indians,2018-07-12
4,Arizona D'Backs,Colorado Rockies,2018-07-12
5,Oakland Athletics,Houston Astros,2018-07-12
6,Tampa Bay Rays,Minnesota Twins,2018-07-12
7,Washington Nationals,New York Mets,2018-07-12
8,Milwaukee Brewers,Pittsburgh Pirates,2018-07-12
9,Los Angeles Dodgers,San Diego Padres,2018-07-12
0,Arizona D'Backs,Atlanta Braves,2018-07-13
1,Texas Rangers,Baltimore Orioles,2018-07-13
2,Toronto Blue Jays,Boston Red Sox,2018-07-13
3,Kansas City Royals,Chicago White Sox,2018-07-13
4,New York Yankees,Cleveland Indians,2018-07-13
5,Seattle Mariners,Colorado Rockies,2018-07-13
6,Detroit Tigers,Houston Astros,2018-07-13
7,Los Angeles Angels,Los Angeles Dodgers,2018-07-13
8,Philadelphia Phillies,Miami Marlins,2018-07-13
9,Tampa Bay Rays,Minnesota Twins,2018-07-13
10,Washington Nationals,New York Mets,2018-07-13
11,Milwaukee Brewers,Pittsburgh Pirates,2018-07-13
12,Chicago Cubs,San Diego Padres,2018-07-13
13,Oakland Athletics,San Francisco Giants,2018-07-13
14,Cincinnati Reds,St. Louis Cardinals,2018-07-13
0,Arizona D'Backs,Atlanta Braves,2018-07-14
1,Texas Rangers,Baltimore Orioles,2018-07-14
2,Toronto Blue Jays,Boston Red Sox,2018-07-14
3,Kansas City Royals,Chicago White Sox,2018-07-14
4,New York Yankees,Cleveland Indians,2018-07-14
5,Seattle Mariners,Colorado Rockies,2018-07-14
6,Detroit Tigers,Houston Astros,2018-07-14
7,Los Angeles Angels,Los Angeles Dodgers,2018-07-14
8,Philadelphia Phillies,Miami Marlins,2018-07-14
9,Tampa Bay Rays,Minnesota Twins,2018-07-14
10,Washington Nationals,New York Mets,2018-07-14
11,Milwaukee Brewers,Pittsburgh Pirates,2018-07-14
12,Milwaukee Brewers,Pittsburgh Pirates,2018-07-14
13,Chicago Cubs,San Diego Padres,2018-07-14
14,Oakland Athletics,San Francisco Giants,2018-07-14
15,Cincinnati Reds,St. Louis Cardinals,2018-07-14
0,Arizona D'Backs,Atlanta Braves,2018-07-15
1,Texas Rangers,Baltimore Orioles,2018-07-15
2,Toronto Blue Jays,Boston Red Sox,2018-07-15
3,Kansas City Royals,Chicago White Sox,2018-07-15
4,New York Yankees,Cleveland Indians,2018-07-15
5,Seattle Mariners,Colorado Rockies,2018-07-15
6,Detroit Tigers,Houston Astros,2018-07-15
7,Los Angeles Angels,Los Angeles Dodgers,2018-07-15
8,Philadelphia Phillies,Miami Marlins,2018-07-15
9,Tampa Bay Rays,Minnesota Twins,2018-07-15
10,Washington Nationals,New York Mets,2018-07-15
11,Milwaukee Brewers,Pittsburgh Pirates,2018-07-15
12,Chicago Cubs,San Diego Padres,2018-07-15
13,Oakland Athletics,San Francisco Giants,2018-07-15
14,Cincinnati Reds,St. Louis Cardinals,2018-07-15
0,St. Louis Cardinals,Chicago Cubs,2018-07-19
0,Houston Astros,Los Angeles Angels,2018-07-20
1,Colorado Rockies,Arizona D'Backs,2018-07-20
2,St. Louis Cardinals,Chicago Cubs,2018-07-20
3,Pittsburgh Pirates,Cincinnati Reds,2018-07-20
4,Boston Red Sox,Detroit Tigers,2018-07-20
5,Minnesota Twins,Kansas City Royals,2018-07-20
6,Los Angeles Dodgers,Milwaukee Brewers,2018-07-20
7,New York Mets,New York Yankees,2018-07-20
8,San Francisco Giants,Oakland Athletics,2018-07-20
9,San Diego Padres,Philadelphia Phillies,2018-07-20
10,Chicago White Sox,Seattle Mariners,2018-07-20
11,Miami Marlins,Tampa Bay Rays,2018-07-20
12,Cleveland Indians,Texas Rangers,2018-07-20
13,Baltimore Orioles,Toronto Blue Jays,2018-07-20
14,Atlanta Braves,Washington Nationals,2018-07-20
0,Houston Astros,Los Angeles Angels,2018-07-21
1,Colorado Rockies,Arizona D'Backs,2018-07-21
2,St. Louis Cardinals,Chicago Cubs,2018-07-21
3,St. Louis Cardinals,Chicago Cubs,2018-07-21
4,Pittsburgh Pirates,Cincinnati Reds,2018-07-21
5,Boston Red Sox,Detroit Tigers,2018-07-21
6,Minnesota Twins,Kansas City Royals,2018-07-21
7,Los Angeles Dodgers,Milwaukee Brewers,2018-07-21
8,New York Mets,New York Yankees,2018-07-21
9,San Francisco Giants,Oakland Athletics,2018-07-21
10,Chicago White Sox,Seattle Mariners,2018-07-21
11,Miami Marlins,Tampa Bay Rays,2018-07-21
12,Cleveland Indians,Texas Rangers,2018-07-21
13,Baltimore Orioles,Toronto Blue Jays,2018-07-21
0,Houston Astros,Los Angeles Angels,2018-07-22
1,Colorado Rockies,Arizona D'Backs,2018-07-22
2,St. Louis Cardinals,Chicago Cubs,2018-07-22
3,Pittsburgh Pirates,Cincinnati Reds,2018-07-22
4,Boston Red Sox,Detroit Tigers,2018-07-22
5,Minnesota Twins,Kansas City Royals,2018-07-22
6,Los Angeles Dodgers,Milwaukee Brewers,2018-07-22
7,San Francisco Giants,Oakland Athletics,2018-07-22
8,San Diego Padres,Philadelphia Phillies,2018-07-22
9,San Diego Padres,Philadelphia Phillies,2018-07-22
10,Chicago White Sox,Seattle Mariners,2018-07-22
11,Miami Marlins,Tampa Bay Rays,2018-07-22
12,Cleveland Indians,Texas Rangers,2018-07-22
13,Baltimore Orioles,Toronto Blue Jays,2018-07-22
14,Atlanta Braves,Washington Nationals,2018-07-22
0,Chicago White Sox,Los Angeles Angels,2018-07-23
1,Boston Red Sox,Baltimore Orioles,2018-07-23
2,Arizona D'Backs,Chicago Cubs,2018-07-23
3,St. Louis Cardinals,Cincinnati Reds,2018-07-23
4,Pittsburgh Pirates,Cleveland Indians,2018-07-23
5,Detroit Tigers,Kansas City Royals,2018-07-23
6,Atlanta Braves,Miami Marlins,2018-07-23
7,Washington Nationals,Milwaukee Brewers,2018-07-23
8,San Diego Padres,New York Mets,2018-07-23
9,Los Angeles Dodgers,Philadelphia Phillies,2018-07-23
10,New York Yankees,Tampa Bay Rays,2018-07-23
11,Oakland Athletics,Texas Rangers,2018-07-23
12,Minnesota Twins,Toronto Blue Jays,2018-07-23
0,Chicago White Sox,Los Angeles Angels,2018-07-24
1,Boston Red Sox,Baltimore Orioles,2018-07-24
2,Arizona D'Backs,Chicago Cubs,2018-07-24
3,St. Louis Cardinals,Cincinnati Reds,2018-07-24
4,Pittsburgh Pirates,Cleveland Indians,2018-07-24
5,Houston Astros,Colorado Rockies,2018-07-24
6,Detroit Tigers,Kansas City Royals,2018-07-24
7,Atlanta Braves,Miami Marlins,2018-07-24
8,Washington Nationals,Milwaukee Brewers,2018-07-24
9,San Diego Padres,New York Mets,2018-07-24
10,Los Angeles Dodgers,Philadelphia Phillies,2018-07-24
11,San Francisco Giants,Seattle Mariners,2018-07-24
12,New York Yankees,Tampa Bay Rays,2018-07-24
13,Oakland Athletics,Texas Rangers,2018-07-24
14,Minnesota Twins,Toronto Blue Jays,2018-07-24
0,Chicago White Sox,Los Angeles Angels,2018-07-25
1,Arizona D'Backs,Chicago Cubs,2018-07-25
2,St. Louis Cardinals,Cincinnati Reds,2018-07-25
3,Pittsburgh Pirates,Cleveland Indians,2018-07-25
4,Houston Astros,Colorado Rockies,2018-07-25
5,Detroit Tigers,Kansas City Royals,2018-07-25
6,Washington Nationals,Milwaukee Brewers,2018-07-25
7,San Diego Padres,New York Mets,2018-07-25
8,Los Angeles Dodgers,Philadelphia Phillies,2018-07-25
9,San Francisco Giants,Seattle Mariners,2018-07-25
10,New York Yankees,Tampa Bay Rays,2018-07-25
11,Oakland Athletics,Texas Rangers,2018-07-25
12,Minnesota Twins,Toronto Blue Jays,2018-07-25
0,Chicago White Sox,Los Angeles Angels,2018-07-26
1,Los Angeles Dodgers,Atlanta Braves,2018-07-26
2,Tampa Bay Rays,Baltimore Orioles,2018-07-26
3,Minnesota Twins,Boston Red Sox,2018-07-26
4,Arizona D'Backs,Chicago Cubs,2018-07-26
5,Philadelphia Phillies,Cincinnati Reds,2018-07-26
6,Washington Nationals,Miami Marlins,2018-07-26
7,Kansas City Royals,New York Yankees,2018-07-26
8,New York Mets,Pittsburgh Pirates,2018-07-26
9,Milwaukee Brewers,San Francisco Giants,2018-07-26
10,Oakland Athletics,Texas Rangers,2018-07-26
0,Seattle Mariners,Los Angeles Angels,2018-07-27
1,Los Angeles Dodgers,Atlanta Braves,2018-07-27
2,Tampa Bay Rays,Baltimore Orioles,2018-07-27
3,Minnesota Twins,Boston Red Sox,2018-07-27
